run_id,path_id,fee_param,xsol_param,depeg_event,run_duration,sol_pool_activations,xsol_pool_activations,total_pool_activations
102.1,5,1.6,1.3,False,1000,0,4,4
67.5,4,1.3,1.1,False,1000,0,0,0
101.1,5,1.6,1.2,False,1000,0,0,0
64.1,4,1.1,1.1,False,1000,0,0,0
41.3,2,1.6,1.5,False,1000,0,37,37
57.4,3,1.5,1.5,False,1000,0,11,11
30.3,2,1.4,1.3,False,1000,0,37,37
86.3,5,1.2,1.1,False,1000,0,1,1
98.5,5,1.5,1.4,False,1000,0,22,22
88.1,5,1.3,1.1,False,1000,0,7,7
70.1,4,1.4,1.1,False,1000,0,0,0
84.3,4,1.6,1.6,False,1000,0,13,13
22.3,2,1.1,1.1,True,668,0,10,10
20.3,1,1.6,1.5,False,1000,0,80,80
23.4,2,1.2,1.1,True,142,0,5,5
59.1,3,1.6,1.2,False,1000,0,4,4
82.3,4,1.6,1.4,False,1000,0,13,13
49.1,3,1.4,1.1,False,1000,0,1,1
77.1,4,1.5,1.4,False,1000,0,6,6
4.3,1,1.3,1.1,True,823,0,18,18
19.2,1,1.6,1.4,False,1000,0,62,62
103.2,5,1.6,1.4,False,1000,0,14,14
40.3,2,1.6,1.4,False,1000,0,26,26
56.4,3,1.5,1.4,False,1000,0,7,7
99.5,5,1.5,1.5,False,1000,0,21,21
15.4,1,1.5,1.5,False,1000,0,73,73
105.2,5,1.6,1.6,False,1000,0,24,24
85.4,5,1.1,1.1,False,1000,0,0,0
7.3,1,1.4,1.1,True,484,0,10,10
61.3,3,1.6,1.4,False,1000,0,7,7
83.3,4,1.6,1.5,False,1000,0,5,5
62.3,3,1.6,1.5,False,1000,0,14,14
44.3,3,1.2,1.1,True,670,0,3,3
75.2,4,1.5,1.2,False,1000,0,0,0
24.4,2,1.2,1.2,False,1000,0,37,37
76.2,4,1.5,1.3,False,1000,0,1,1
18.1,1,1.6,1.3,False,1000,0,56,56
91.4,5,1.4,1.1,False,1000,0,4,4
39.2,2,1.6,1.3,False,1000,0,16,16
47.4,3,1.3,1.2,False,1000,0,5,5
1.3,1,1.1,1.1,True,484,0,8,8
66.2,4,1.2,1.2,False,1000,0,0,0
34.4,2,1.5,1.3,False,1000,0,32,32
48.5,3,1.3,1.3,False,1000,0,5,5
10.3,1,1.4,1.4,False,1000,0,41,41
12.3,1,1.5,1.2,False,1000,0,54,54
32.4,2,1.5,1.1,True,142,0,5,5
16.4,1,1.6,1.1,True,521,0,7,7
95.3,5,1.5,1.1,False,1000,0,0,0
38.2,2,1.6,1.2,False,1000,0,10,10
72.5,4,1.4,1.3,False,1000,0,2,2
28.2,2,1.4,1.1,True,976,0,12,12
89.5,5,1.3,1.2,False,1000,0,2,2
71.5,4,1.4,1.2,False,1000,0,0,0
25.3,2,1.3,1.1,True,142,0,4,4
2.4,1,1.2,1.1,True,521,0,18,18
58.5,3,1.6,1.1,False,1000,0,0,0
100.5,5,1.6,1.1,False,1000,0,9,9
13.3,1,1.5,1.3,False,1000,0,54,54
52.3,3,1.4,1.4,False,1000,0,22,22
99.1,5,1.5,1.5,False,1000,0,11,11
53.3,3,1.5,1.1,True,670,0,1,1
17.4,1,1.6,1.2,False,1000,0,52,52
33.4,2,1.5,1.2,False,1000,0,7,7
37.3,2,1.6,1.1,False,1000,0,1,1
31.4,2,1.4,1.4,False,1000,0,31,31
55.3,3,1.5,1.3,False,1000,0,6,6
26.3,2,1.3,1.2,False,1000,0,24,24
80.4,4,1.6,1.2,False,1000,0,2,2
94.3,5,1.4,1.4,False,1000,0,18,18
96.3,5,1.5,1.2,False,1000,0,8,8
46.4,3,1.3,1.1,False,1000,0,4,4
18.5,1,1.6,1.3,False,1000,0,58,58
67.1,4,1.3,1.1,False,1000,0,0,0
102.5,5,1.6,1.3,False,1000,0,6,6
64.5,4,1.1,1.1,False,1000,0,2,2
11.3,1,1.5,1.1,True,128,0,1,1
101.5,5,1.6,1.2,False,1000,0,0,0
54.3,3,1.5,1.2,False,1000,0,0,0
65.2,4,1.2,1.1,False,1000,0,0,0
78.4,4,1.5,1.5,False,1000,0,27,27
98.1,5,1.5,1.4,False,1000,0,20,20
