"Date","Price","Open","High","Low","Vol.","Change %"
"01/15/2023","24.303","18.28","24.303","24.303","4130.18M","32.95%"
"01/16/2023","22.838","24.303","22.838","22.838","1967.11M","-6.03%"
"01/17/2023","23.586","22.838","23.586","23.586","1775.94M","3.28%"
"01/18/2023","22.882","23.586","22.882","22.882","1033.55M","-2.99%"
"01/19/2023","20.858","22.882","20.858","20.858","1543.99M","-8.85%"
"01/20/2023","21.415","20.858","21.415","21.415","898.5M","2.67%"
"01/21/2023","25.576","21.415","25.576","25.576","1527.41M","19.43%"
"01/22/2023","24.665","25.576","24.665","24.665","2096.63M","-3.56%"
"01/23/2023","24.272","24.665","24.272","24.272","970.99M","-1.6%"
"01/24/2023","24.427","24.272","24.427","24.427","917.15M","0.64%"
"01/25/2023","22.789","24.427","22.789","22.789","855.31M","-6.7%"
"01/26/2023","24.66","22.789","24.66","24.66","1389.56M","8.21%"
"01/27/2023","24.363","24.66","24.363","24.363","811.74M","-1.21%"
"01/28/2023","24.414","24.363","24.414","24.414","702.65M","0.21%"
"01/29/2023","23.986","24.414","23.986","23.986","522.6M","-1.75%"
"01/30/2023","26.178","23.986","26.178","26.178","1086.84M","9.14%"
"01/31/2023","23.963","26.178","23.963","23.963","1111.64M","-8.46%"
"02/01/2023","23.961","23.963","23.961","23.961","636.67M","-0.01%"
"02/02/2023","24.983","23.961","24.983","24.983","1017.08M","4.26%"
"02/03/2023","24.319","24.983","24.319","24.319","1066.58M","-2.66%"
"02/04/2023","24.686","24.319","24.686","24.686","781.14M","1.51%"
"02/05/2023","24.352","24.686","24.352","24.352","350.24M","-1.35%"
"02/06/2023","23.514","24.352","23.514","23.514","638.58M","-3.44%"
"02/07/2023","22.717","23.514","22.717","22.717","463.32M","-3.39%"
"02/08/2023","23.904","22.717","23.904","23.904","707.39M","5.23%"
"02/09/2023","23.207","23.904","23.207","23.207","581.77M","-2.92%"
"02/10/2023","20.438","23.207","20.438","20.438","808.73M","-11.93%"
"02/11/2023","20.124","20.438","20.124","20.124","684.17M","-1.54%"
"02/12/2023","20.845","20.124","20.845","20.845","278.03M","3.58%"
"02/13/2023","21.441","20.845","21.441","21.441","544.55M","2.86%"
"02/14/2023","20.785","21.441","20.785","20.785","723.12M","-3.06%"
"02/15/2023","21.845","20.785","21.845","21.845","850.95M","5.1%"
"02/16/2023","23.889","21.845","23.889","23.889","831.02M","9.36%"
"02/17/2023","22.345","23.889","22.345","22.345","956.36M","-6.47%"
"02/18/2023","23.194","22.345","23.194","23.194","666.3M","3.8%"
"02/19/2023","23.451","23.194","23.451","23.451","411.41M","1.11%"
"02/20/2023","24.811","23.451","24.811","24.811","1082.09M","5.8%"
"02/21/2023","26.035","24.811","26.035","26.035","1528.18M","4.94%"
"02/22/2023","24.921","26.035","24.921","24.921","971.1M","-4.28%"
"02/23/2023","24.17","24.921","24.17","24.17","1006.55M","-3.01%"
"02/24/2023","23.924","24.17","23.924","23.924","617.54M","-1.02%"
"02/25/2023","23.058","23.924","23.058","23.058","649.16M","-3.62%"
"02/26/2023","22.41","23.058","22.41","22.41","582.78M","-2.81%"
"02/27/2023","23.231","22.41","23.231","23.231","447.77M","3.66%"
"02/28/2023","22.694","23.231","22.694","22.694","515.69M","-2.31%"
"03/01/2023","21.916","22.694","21.916","21.916","353.85M","-3.43%"
"03/02/2023","22.506","21.916","22.506","22.506","368.84M","2.69%"
"03/03/2023","21.974","22.506","21.974","21.974","331.96M","-2.36%"
"03/04/2023","21.407","21.974","21.407","21.407","498.07M","-2.58%"
"03/05/2023","20.956","21.407","20.956","20.956","254.56M","-2.11%"
"03/06/2023","21.003","20.956","21.003","21.003","269.44M","0.22%"
"03/07/2023","20.631","21.003","20.631","20.631","325.98M","-1.77%"
"03/08/2023","20.273","20.631","20.273","20.273","397.97M","-1.74%"
"03/09/2023","18.428","20.273","18.428","18.428","654.07M","-9.1%"
"03/10/2023","17.333","18.428","17.333","17.333","817.53M","-5.94%"
"03/11/2023","18.213","17.333","18.213","18.213","988.47M","5.07%"
"03/12/2023","18.068","18.213","18.068","18.068","671.12M","-0.79%"
"03/13/2023","20.338","18.068","20.338","20.338","766.8M","12.56%"
"03/14/2023","20.377","20.338","20.377","20.377","1115.39M","0.19%"
"03/15/2023","20.98","20.377","20.98","20.98","1216.81M","2.96%"
"03/16/2023","19.336","20.98","19.336","19.336","891.83M","-7.83%"
"03/17/2023","19.833","19.336","19.833","19.833","505.61M","2.57%"
"03/18/2023","21.645","19.833","21.645","21.645","746.57M","9.14%"
"03/19/2023","21.317","21.645","21.317","21.317","984.17M","-1.51%"
"03/20/2023","22.022","21.317","22.022","22.022","671.44M","3.31%"
"03/21/2023","22.322","22.022","22.322","22.322","1214.98M","1.36%"
"03/22/2023","22.74","22.322","22.74","22.74","725.96M","1.87%"
"03/23/2023","21.578","22.74","21.578","21.578","914.74M","-5.11%"
"03/24/2023","22.306","21.578","22.306","22.306","538.47M","3.37%"
"03/25/2023","20.774","22.306","20.774","20.774","635.69M","-6.87%"
"03/26/2023","20.594","20.774","20.594","20.594","387.07M","-0.87%"
"03/27/2023","20.982","20.594","20.982","20.982","326.33M","1.89%"
"03/28/2023","19.958","20.982","19.958","19.958","406.23M","-4.88%"
"03/29/2023","20.499","19.958","20.499","20.499","400.87M","2.71%"
"03/30/2023","21.132","20.499","21.132","21.132","422.17M","3.09%"
"03/31/2023","20.574","21.132","20.574","20.574","532.52M","-2.64%"
"04/01/2023","21.205","20.574","21.205","21.205","415.95M","3.07%"
"04/02/2023","21.084","21.205","21.084","21.084","251.95M","-0.57%"
"04/03/2023","20.565","21.084","20.565","20.565","250.94M","-2.46%"
"04/04/2023","20.437","20.565","20.437","20.437","529.75M","-0.63%"
"04/05/2023","20.921","20.437","20.921","20.921","348.47M","2.37%"
"04/06/2023","20.982","20.921","20.982","20.982","361.88M","0.29%"
"04/07/2023","20.609","20.982","20.609","20.609","271.95M","-1.78%"
"04/08/2023","20.484","20.609","20.484","20.484","208.77M","-0.61%"
"04/09/2023","20.043","20.484","20.043","20.043","229.35M","-2.15%"
"04/10/2023","20.304","20.043","20.304","20.304","195.65M","1.31%"
"04/11/2023","20.875","20.304","20.875","20.875","243.05M","2.81%"
"04/12/2023","23.006","20.875","23.006","23.006","1081.78M","10.21%"
"04/13/2023","23.831","23.006","23.831","23.831","1370.53M","3.59%"
"04/14/2023","24.428","23.831","24.428","24.428","666.07M","2.51%"
"04/15/2023","24.774","24.428","24.774","24.774","825.83M","1.42%"
"04/16/2023","24.076","24.774","24.076","24.076","387.95M","-2.82%"
"04/17/2023","25.296","24.076","25.296","25.296","514.89M","5.07%"
"04/18/2023","24.582","25.296","24.582","24.582","910.6M","-2.82%"
"04/19/2023","24.829","24.582","24.829","24.829","558.94M","1.0%"
"04/20/2023","22.669","24.829","22.669","22.669","974.04M","-8.7%"
"04/21/2023","22.179","22.669","22.179","22.179","712.6M","-2.16%"
"04/22/2023","21.256","22.179","21.256","21.256","527.66M","-4.16%"
"04/23/2023","21.851","21.256","21.851","21.851","249.2M","2.8%"
"04/24/2023","21.499","21.851","21.499","21.499","348.36M","-1.61%"
"04/25/2023","21.388","21.499","21.388","21.388","401.68M","-0.52%"
"04/26/2023","21.94","21.388","21.94","21.94","409.78M","2.58%"
"04/27/2023","21.256","21.94","21.256","21.256","778.78M","-3.11%"
"04/28/2023","22.338","21.256","22.338","22.338","588.62M","5.09%"
"04/29/2023","23.375","22.338","23.375","23.375","571.32M","4.64%"
"04/30/2023","23.128","23.375","23.128","23.128","419.33M","-1.05%"
"05/01/2023","22.998","23.128","22.998","22.998","425.24M","-0.56%"
"05/02/2023","22.007","22.998","22.007","22.007","505.84M","-4.31%"
"05/03/2023","22.263","22.007","22.263","22.263","326.72M","1.16%"
"05/04/2023","22.22","22.263","22.22","22.22","493.48M","-0.19%"
"05/05/2023","21.742","22.22","21.742","21.742","330.85M","-2.15%"
"05/06/2023","22.819","21.742","22.819","22.819","495.49M","4.95%"
"05/07/2023","21.987","22.819","21.987","21.987","387.96M","-3.65%"
"05/08/2023","22.002","21.987","22.002","22.002","341.58M","0.07%"
"05/09/2023","20.657","22.002","20.657","20.657","647.06M","-6.12%"
"05/10/2023","20.657","20.657","20.657","20.657","318.98M","0.0%"
"05/11/2023","20.976","20.657","20.976","20.976","525.98M","1.54%"
"05/12/2023","20.254","20.976","20.254","20.254","428.55M","-3.44%"
"05/13/2023","20.92","20.254","20.92","20.92","397.7M","3.29%"
"05/14/2023","20.9","20.92","20.9","20.9","252.12M","-0.1%"
"05/15/2023","20.937","20.9","20.937","20.937","211.87M","0.18%"
"05/16/2023","21.038","20.937","21.038","21.038","339.75M","0.48%"
"05/17/2023","20.686","21.038","20.686","20.686","338.23M","-1.67%"
"05/18/2023","21.058","20.686","21.058","21.058","332.8M","1.8%"
"05/19/2023","20.345","21.058","20.345","20.345","325.48M","-3.39%"
"05/20/2023","20.352","20.345","20.352","20.352","159.06M","0.03%"
"05/21/2023","20.27","20.352","20.27","20.27","129.67M","-0.4%"
"05/22/2023","19.631","20.27","19.631","19.631","236.87M","-3.15%"
"05/23/2023","19.559","19.631","19.559","19.559","245.32M","-0.37%"
"05/24/2023","20.047","19.559","20.047","20.047","293.34M","2.5%"
"05/25/2023","19.214","20.047","19.214","19.214","317.11M","-4.15%"
"05/26/2023","19.256","19.214","19.256","19.256","231.05M","0.22%"
"05/27/2023","19.367","19.256","19.367","19.367","181.19M","0.58%"
"05/28/2023","20.405","19.367","20.405","20.405","209.25M","5.36%"
"05/29/2023","20.815","20.405","20.815","20.815","319.94M","2.01%"
"05/30/2023","20.574","20.815","20.574","20.574","263.48M","-1.16%"
"05/31/2023","21.248","20.574","21.248","21.248","390.02M","3.28%"
"06/01/2023","20.82","21.248","20.82","20.82","264.04M","-2.01%"
"06/02/2023","20.513","20.82","20.513","20.513","229.62M","-1.48%"
"06/03/2023","21.257","20.513","21.257","21.257","262.88M","3.63%"
"06/04/2023","21.148","21.257","21.148","21.148","159.57M","-0.51%"
"06/05/2023","21.87","21.148","21.87","21.87","372.65M","3.41%"
"06/06/2023","20.082","21.87","20.082","20.082","663.12M","-8.17%"
"06/07/2023","20.399","20.082","20.399","20.399","490.82M","1.58%"
"06/08/2023","18.649","20.399","18.649","18.649","412.77M","-8.58%"
