day,pSOL,nSOL,value of SOL in $,daily mint of fSOL,daily burn of fSOL,daily mint of xSOL,daily burn of xSOL,pX,nX,Marketcap xSOL,pF,nF,Marketcap fSOL,Total mcap,fSOL adjustment,Collaterization ratio
90,34.801,50124.75982333995,1744391.7666120536,106832,0,0,9964,1.7311060100185298,564160.0,976620.7666120537,1,767771.0,767771.0,1744391.7666120538,0.0,2.503723500800949
91,34.36,51087.995510025394,1755383.5257244725,0,11279,26228,0,1.691923829285948,590388.0,998891.5257244722,1,756492.0,756492.0,1755383.5257244722,0.0,2.2432297488834045
92,32.966,52424.34354173503,1728220.9091968369,61695,0,0,11227,1.5712969436768656,579161.0,910033.9091968371,1,818187.0,818187.0,1728220.909196837,0.0,2.2262850895759603
93,33.643,49692.333122494776,1671799.1632400919,0,44454,0,29070,1.6325774521671719,550091.0,898066.1632400918,1,773733.0,773733.0,1671799.1632400919,0.0,2.1556345795943854
94,36.537,48796.03828445401,1782860.850799096,29527,0,0,32880,1.8940062195102114,517211.0,979600.8507990959,1,803260.0,803260.0,1782860.8507990958,0.0,2.346557242998026
95,32.902,44288.419806705606,1457177.5884802279,0,124597,0,15288,1.5510637856408813,501923.0,778514.5884802281,1,678663.0,678663.0,1457177.588480228,0.0,1.9987143037560762
96,33.364,43297.96116559106,1444593.1763287801,0,3600,0,18498,1.591829500602534,483425.0,769530.17632878,1,675063.0,675063.0,1444593.1763287801,0.0,2.1772792069568045
97,31.73,47039.71009258484,1492570.001237717,6276,0,77794,0,1.4454802870852859,561219.0,811231.001237717,1,681339.0,681339.0,1492570.001237717,0.0,2.0351349544919577
98,32.115,48083.15159234932,1544190.4133882986,24187,0,6309,0,1.4777498438637364,567528.0,838664.4133882986,1,705526.0,705526.0,1544190.4133882986,0.0,2.217222688886681
99,30.88,46961.523825950164,1450171.855745341,0,24608,0,7303,1.3731159011920944,560225.0,769253.855745341,1,680918.0,680918.0,1450171.8557453412,0.0,2.1045400469603486
100,29.052,43605.187952660344,1266817.9204006882,0,21961,0,61930,1.2198816371841743,498295.0,607860.9204006882,1,658957.0,658957.0,1266817.9204006882,0.0,2.00365710730441
101,31.259,47099.11253559912,1472271.1587502928,14970,0,66699,0,1.4130135165157383,564994.0,798344.158750293,1,673927.0,673927.0,1472271.1587502928,0.0,2.0685030589434663
102,28.456,46323.20942238335,1318173.2473233405,6927,0,0,24595,1.1793494201938575,540399.0,637319.2473233404,1,680854.0,680854.0,1318173.2473233403,0.0,1.9887203603847425
103,26.307,49103.307484262135,1291760.709988484,0,7675,81206,0,0.9951363164525444,621605.0,618581.7099884839,1,673179.0,673179.0,1291760.709988484,0.0,1.789847265749542
104,26.715,48606.458351594585,1298521.5348628494,0,72164,57322,0,1.0273660273679635,678927.0,697506.5348628493,1,601015.0,601015.0,1298521.5348628494,0.0,1.9486568348716506
105,26.726,50881.164718600325,1359850.0082693123,0,7600,66521,0,1.0281535509778177,745448.0,766435.0082693122,1,593415.0,593415.0,1359850.0082693123,0.0,2.1614372451681185
106,24.495,53388.83218851368,1307759.4444576427,17057,0,50656,0,0.8758748159256113,796104.0,697287.4444576429,1,610472.0,610472.0,1307759.4444576427,0.0,2.10027405741701
107,23.482,54702.82852092421,1284531.8193283423,0,5700,45245,0,0.8079403663977046,841349.0,679759.8193283423,1,604772.0,604772.0,1284531.8193283423,0.0,2.053618441878871
108,26.641,55887.60752121955,1488901.75197281,35235,0,0,3623,1.013332225540105,837726.0,848894.7519728099,1,640007.0,640007.0,1488901.75197281,0.0,2.409731360952461
109,27.748,59514.97378644682,1651421.4926263264,33200,0,62043,0,1.0871840357095282,899769.0,978214.4926263264,1,673207.0,673207.0,1651421.4926263264,0.0,2.4230505814761405
110,28.47,57018.964057497345,1623329.9067169493,0,47054,0,21153,1.1349405277356086,878616.0,997176.9067169495,1,626153.0,626153.0,1623329.9067169495,0.0,2.5168949575689807
111,28.72,59658.27871894605,1713385.7648081305,1848,0,64242,0,1.1511646131317024,942858.0,1085384.7648081307,1,628001.0,628001.0,1713385.7648081307,0.0,2.6153107111701512
112,28.133,58686.80437612041,1651035.8675133954,17705,0,0,40426,1.1140228488278288,902432.0,1005329.8675133951,1,645706.0,645706.0,1651035.8675133951,0.0,2.6725536347873793
113,28.251,58590.87683374409,1655250.8614301044,0,12489,8718,0,1.121696604763326,911150.0,1022033.8614301046,1,633217.0,633217.0,1655250.8614301046,0.0,2.5676715260966723
114,28.018,56921.76560339273,1594834.0286758575,8731,0,0,50145,1.1067136993116853,861005.0,952886.0286758576,1,641948.0,641948.0,1594834.0286758575,0.0,2.5924749132253906
115,27.857,54401.42805851953,1515460.5814261786,0,21332,0,44593,1.0960698537333828,816412.0,894844.5814261786,1,620616.0,620616.0,1515460.5814261786,0.0,2.470090450338207
